TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL,Rs,Rc,Value,Card ID
568060,YuGiOh,Champion Pack 8,Beckoning Light,,CP08-EN014,Common,Lightly Played Unlimited,0.26,0,0,0,,1,0.26,,,,0.0226075369865,0.302999973297,"('CP08',)",fcb8ec216c274b3fa4424827060a6c47
570029,YuGiOh,Duelist Pack 9: Yusei 2,Skill Successor,,DP09-EN026,Rare,Lightly Played Unlimited,0.16,0,0,0,,1,0.16,,,,0.0117902234197,0.379000008106,"('DP09',)",3d47dca2361a4c198b87a4d64ec1ccd9
3758743,YuGiOh,Flames of Destruction,Called by the Grave,,FLOD-EN065,Common,Lightly Played Unlimited,1.68,0,0,0,,1,1.68,,,,0.0319640077651,0.654000043869,"('FLOD',)",389fcb775df847bd9990a4af633e20c7
570661,YuGiOh,Force of the Breaker,Crystal Promise,,FOTB-EN036,Common,Lightly Played Unlimited,0.07,0,0,0,,1,0.07,,,,0.00727927545086,0.111999988556,"('FOTB',)",11d0bdb06a7444b49dc2ae540a744b06
874127,YuGiOh,Galactic Overlord,Lightray Diabolos,,GAOV-EN035,Rare,Lightly Played Unlimited,0.27,0,0,0,,2,0.27,,,,0.0174701381475,0.425999999046,"('GAOV',)",475f8889de5042aebad2f653e0bf86be
3983730,YuGiOh,The Infinity Chasers,Marshalling Field,,INCH-EN045,Super Rare,Lightly Played 1st Edition,0.16,0,0,0,,1,0.16,,,,1,0.403999984264,"('INCH',)",32c284d91124423fbc84bdde1e90a827
7802877,YuGiOh,25th Anniversary Ultimate Kaiba Set,Blue-Eyes Ultimate Dragon,,KC01-EN033,Ultra Rare,Lightly Played Unlimited,13.06,0,0,0,,4,13.06,,,,0.0343252941966,0.450999975204,"('KC01',)",776d01539cda43028af67d26085b031b
571933,YuGiOh,Legendary Collection 2,"Jain, Lightsworn Paladin",,LCGX-EN245,Ultra Rare,Lightly Played Unlimited,5.12,0,0,0,,1,5.12,,,,0.00336115737446,0.444000005722,"('LCGX',)",4e80bebb895b4033ae6fdd7adc2124f2
571940,YuGiOh,Legendary Collection 2,"Lumina, Lightsworn Summoner",,LCGX-EN247,Ultra Rare,Lightly Played Unlimited,0.58,0,0,0,,1,0.58,,,,0.00712028378621,0.367999970913,"('LCGX',)",1c4336a55b3f4757b5ba60f2ebfb960d
3746188,YuGiOh,Legendary Collection Kaiba,Blue-Eyes Twin Burst Dragon,,LCKC-EN058,Ultra Rare,Lightly Played Unlimited,0.85,0,0,0,,1,0.85,,,,0.0375885143876,0.539999961853,"('LCKC',)",ab2a5f9eaa2640cfb5768114dad639c1
4137382,YuGiOh,Legendary Decks II,Trade-In,,LDK2-ENK28,Common,Lightly Played Unlimited,0.33,0,0,0,,1,0.33,,,,0.00165835418738,0.75,"('LDK2',)",441f36737ee2408abcf5652ce2328794
3513308,YuGiOh,Legendary Dragon Decks,Cyber Dragon Core,,LEDD-ENB04,Common,Lightly Played 1st Edition,0.12,0,0,0,,1,0.12,,,,0.0889635458589,0.287999987602,"('LEDD',)",690a690aa40e436da6c7b34aaceec334
572065,YuGiOh,Light of Destruction,Realm of Light,,LODT-EN053,Common,Lightly Played Unlimited,0.16,0,0,0,,1,0.16,,,,0.0188003517687,0.485000014305,"('LODT',)",612396bf4dae42f193ef1bbb7e6fed52
4173746,YuGiOh,2019 Gold Sarcophagus Tin Mega Pack,Duelittle Chimera,,MP19-EN270,Super Rare,Lightly Played 1st Edition,0.43,0,0,0,,1,0.43,,,,0.00619428372011,0.471000015736,"('MP19',)",e44def47d0614688bb595de62fec69eb
7751014,YuGiOh,OTS Tournament Pack 24,Puppet Plant,,OP24-EN016,Common,Lightly Played Unlimited,0.12,0,0,0,,1,0.12,,,,0.326016008854,0.738999962807,"('OP24',)",ede926907284433a92fc11a45e838331
540020,YuGiOh,Pharaonic Guardian,Pyramid Turtle,,PGD-026,Rare,Lightly Played 1st Edition,2.21,0,0,0,,1,2.21,,,,0.0117608858272,0.636000037193,"('PGD',)",1b236823af6e41b980678f050addbc58
3967288,YuGiOh,Savage Strike,"Hiita the Fire Charmer, Ablaze",,SAST-EN056,Rare,Lightly Played 1st Edition,0.33,0,0,0,,1,0.33,,,,0.171742320061,0.583999991417,"('SAST',)",5e805e6117794a529d02fbbb085cbb9e
3967338,YuGiOh,Savage Strike,Impcantation Inception,,SAST-EN065,Common,Lightly Played 1st Edition,0.55,0,0,0,,1,0.55,,,,0.343470752239,0.384000003338,"('SAST',)",f55fbff81aa34a659b1204cbee400cbf
8391454,YuGiOh,Speed Duel: Battle City Finals,Fiendish Rhino Warrior,,SBC2-ENE07,Common,Lightly Played 1st Edition,0.35,0,0,0,,1,0.35,,,,0.176338896155,0.575999975204,"('SBC2',)",00b7c8ca843242adb2420ffba0ce0726
4682669,YuGiOh,Speed Duel: Battle City Box,Breaker the Magical Warrior,,SBCB-EN008,Common,Lightly Played 1st Edition,0.54,0,0,0,,1,0.54,,,,0.0378810837865,0.621999979019,"('SBCB',)",7f97fc42811c49b8be2f37acb230419c
541514,YuGiOh,Structure Deck: Dinosaur's Rage,Negate Attack,,SD09-EN033,Common,Lightly Played 1st Edition,0.52,0,0,0,,1,0.52,,,,0.154113009572,0.560000002384,"('SD09',)",9f46e80d2efe46e29a7071d1a8e48c57
574517,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear,,SD10-EN015,Common,Lightly Played Unlimited,0.74,0,0,0,,2,0.74,,,,0.164476439357,0.408999979496,"('SD10',)",1aa7f7d47d2040b4ade25f6cb6d7a567
541661,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear,,SD10-EN015,Common,Lightly Played 1st Edition,0.14,0,0,0,,2,0.14,,,,0.221114888787,0.534000039101,"('SD10',)",644f4cd2d7074379bf9db850ea27f70f
574515,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear Beast,,SD10-EN013,Common,Lightly Played Unlimited,0.52,0,0,0,,1,0.52,,,,0.162701547146,0.214999973774,"('SD10',)",591b17c02a1a4f5483b8cc3f965fbfb8
574518,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear Cannon,,SD10-EN016,Common,Lightly Played Unlimited,0.35,0,0,0,,1,0.35,,,,0.16801148653,0.588999986649,"('SD10',)",c35cf373d74144f7be83f0b52511d64c
574514,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear Golem,,SD10-EN012,Common,Lightly Played Unlimited,0.21,0,0,0,,1,0.21,,,,0.151784807444,0.375999987125,"('SD10',)",cb52b70081374d268e43f2b01d67aa8b
574516,YuGiOh,Structure Deck: Machine Re-Volt,Ancient Gear Soldier,,SD10-EN014,Common,Lightly Played Unlimited,0.08,0,0,0,,1,0.08,,,,0.18240506947,0.476999998093,"('SD10',)",336432f429dc46c3853343829f0fa95d
574505,YuGiOh,Structure Deck: Machine Re-Volt,Yellow Gadget,,SD10-EN008,Common,Lightly Played Unlimited,0.18,0,0,0,,1,0.18,,,,0.178161889315,0.713999986649,"('SD10',)",9e5fc87286c643588b8eb31d33b24960
574656,YuGiOh,Structure Deck: Zombie Madness,Ryu Kokki,,SD2-EN008,Common,Lightly Played Unlimited,0.24,0,0,0,,1,0.24,,,,0.174824371934,0.618999958038,"('SD2',)",e87d6f1083ca490b962ca698e0c6b414
541574,YuGiOh,Structure Deck: Fury from the Deep,Gravity Bind,,SD4-EN028,Common,Lightly Played 1st Edition,0.57,0,0,0,,1,0.57,,,,0.0915931239724,0.597000002861,"('SD4',)",f88cc80f07fa4cfab1740239450a09aa
541792,YuGiOh,Structure Deck: Warrior's Triumph,Blast with Chain,,SD5-EN036,Common,Lightly Played 1st Edition,0.23,0,0,0,,1,0.23,,,,0.087335601449,0.463999986649,"('SD5',)",17d141622d3247b5bc4923219bd406cc
541784,YuGiOh,Structure Deck: Warrior's Triumph,Fairy of the Spring,,SD5-EN028,Common,Lightly Played 1st Edition,0.11,0,0,0,,1,0.11,,,,0.259954988956,0.567000031471,"('SD5',)",9f114faf1127420ba98610659ff2cec5
541762,YuGiOh,Structure Deck: Warrior's Triumph,Swift Gaia the Fierce Knight,,SD5-EN006,Common,Lightly Played 1st Edition,0.76,0,0,0,,1,0.76,,,,0.203414946795,0.523999989033,"('SD5',)",f34290ef29e04b5480600a5569582d4d
541744,YuGiOh,Structure Deck: Spellcaster's Judgment,Mage Power,,SD6-EN022,Common,Lightly Played 1st Edition,0.36,0,0,0,,1,0.36,,,,0.0939333513379,0.527000010014,"('SD6',)",ec6318c8c73440dfae220761d1b3577b
541727,YuGiOh,Structure Deck: Spellcaster's Judgment,Magician of Faith,,SD6-EN005,Common,Lightly Played 1st Edition,0.59,0,0,0,,1,0.59,,,,0.11364185065,0.679000020027,"('SD6',)",6f7116d6cff14e7b90f2e30151cf11a8
541747,YuGiOh,Structure Deck: Spellcaster's Judgment,Reload,,SD6-EN025,Common,Lightly Played 1st Edition,0.58,0,0,0,,1,0.58,,,,0.0413601472974,0.705000042915,"('SD6',)",8cbbfb9271b64bccbad34893416cf962
541749,YuGiOh,Structure Deck: Spellcaster's Judgment,Spell Absorption,,SD6-EN027,Common,Lightly Played 1st Edition,0.58,0,0,0,,1,0.58,,,,0.148028194904,0.648000001907,"('SD6',)",28aad526d36d471994f2108cf7104f69
541640,YuGiOh,Structure Deck: Lord of the Storm,Call of the Haunted,,SD8-EN030,Common,Lightly Played 1st Edition,0.48,0,0,0,,1,0.48,,,,0.0520591922104,0.587999999523,"('SD8',)",9f2dc9848b0b4e70961899e2574381ab
541617,YuGiOh,Structure Deck: Lord of the Storm,Harpie Lady Sisters,,SD8-EN007,Common,Lightly Played 1st Edition,0.27,0,0,0,,1,0.27,,,,0.216950669885,0.602999985218,"('SD8',)",002d2e5872e842528f6309fda74de485
541641,YuGiOh,Structure Deck: Lord of the Storm,Magic Jammer,,SD8-EN031,Common,Lightly Played 1st Edition,0.92,0,0,0,,1,0.92,,,,0.0546961762011,0.485000014305,"('SD8',)",ca9e190bb98c42bf8cc990ecc033902d
5484588,YuGiOh,Structure Deck: Albaz Strike,Albaz the Shrouded,,SDAZ-EN047,Common,Lightly Played 1st Edition,0.14,0,0,0,,2,0.14,,,,1,0.555999994278,"('SDAZ',)",cf8c323f41cf4dd28b6dface1288628b
5484583,YuGiOh,Structure Deck: Albaz Strike,Albion the Branded Dragon,,SDAZ-EN046,Common,Lightly Played 1st Edition,0.26,0,0,0,,3,0.26,,,,0.14289098978,0.429000020027,"('SDAZ',)",f8394b3bf2454f2eb3d83877ea53da59
5484378,YuGiOh,Structure Deck: Albaz Strike,Albion the Shrouded Dragon,,SDAZ-EN005,Common,Lightly Played 1st Edition,0.16,0,0,0,,3,0.16,,,,0.0979849100113,0.0590000152588,"('SDAZ',)",8249b42045f544098391fc0dda202a66
